 31    63    125   250   500   1000  2000  4000  8000  16000 
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 absorber
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 mirror
 0.100 0.100 0.100 0.100 0.200 0.200 0.200 0.200 0.200 0.200 poytalevy
 0.020 0.020 0.020 0.030 0.030 0.030 0.040 0.100 0.130 0.200 betonikarkea
 0.120 0.230 0.320 0.420 0.420 0.420 0.520 0.520 0.520 0.520 rappaus
 0.150 0.150 0.150 0.200 0.250 0.330 0.330 0.370 0.360 0.450 lautalattia
 0.200 0.200 0.200 0.200 0.200 0.200 0.200 0.200 0.200 0.200 parketti
